link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-titanium-ahkmatrixaccbobliscamwinte-hirdetesid-9kv5xa,11 071 192 Ft,2024,17 241 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-turnier-aut-aktion-hp-sale--hirdetesid-9yehd4,11 128 742 Ft,2023,14 781 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-turnier-aut-matrix-led-nav-wi-pkt-hirdetesid-yk5rc3,11 150 708 Ft,2023,6 985 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-autom-1-hand-navi-led-shz-kamera-hirdetesid-2dtdn7,11 178 297 Ft,2020,58 000 km,benzin,automata,2 264 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-mit-styling-paket-navi-tempomat-led-kamer-hirdetesid-8mtfk9,11 182 425 Ft,2019,34 000 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-2-3-styling-paket-ecoboost-ss-aut-hirdetesid-yx57nm,11 215 463 Ft,2020,45 100 km,benzin,automata,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/focus-iv/ford-focus-iv-2-3-ecoboost-st-styling-pak-ivdc-plusz-full-led-plusz-bo-hirdetesid-6krvf2,11 219 595 Ft,2021,36 000 km,benzin,automata,2 261 cm³,206 kW (280 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-5-ecoblue-st-line-automatik-plusz-navi-plusz-kamera-plusz-led-hirdetesid-vmrp82,11 223 724 Ft,2023,24 200 km,dízel,automata,1 499 cm³,85 kW (116 LE),fehér,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-hirdetesid-z89hum,11 223 724 Ft,2020,35 415 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),barna,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-2-3-ecoboost-s-hirdetesid-rde4w9,11 223 724 Ft,2020,27 500 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turn-st-line-aut-acc-toterwinkel-hirdetesid-9fh5kb,11 240 774 Ft,2024,15 893 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-dct-155le-automata-valto-tolatokamera-teli-csomag-novemberi-beerkezes-hirdetesid-c9nb2e,,2025,4 km,benzin,tiptronik,999 cm³,114 kW (155 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-x-azonnali-keszlet-petranyi-budaors-hirdetesid-dmn4a4,,2025,7 km,benzin,manuális/kézi,999 cm³,92 kW (125 LE),bordó/meggy,5 ajtó,"Budapest, Budaörsi út 179."
